medicines,Disease,symptoms
Doshavaishamyam,MAJJAGATAVATAH,"cracking type of pain in the bones and small joints, pain in the joints, extreme wasting of muscles/diminution of muscle mass, loss of physical strength or weakness, insomnia/sleeplessness, constant pain, porousness of bones, stiffness"
Doshavaishamyam,SUKRAGATAVATAH,"delayed labour/postterm delivery, miscarriage/abortion/preterm delivery, delayed ejaculation, premature ejaculation, congenital anamolies in offspring, inability to ejaculate"
Doshavaishamyam,SNAYUGATAVATAH,"external bending of body, internal bending of body, shooting pain in extremities, hump backed, quadriplegia, monoplegia, rigidity/stiffness, tremors, sharp pain, convulsion, sciatica"
Doshavaishamyam,SIRAGATAVATAH,"mild pain, mild oedema, dryness/emaciation of body, presence or absence of pulsation in the blood vessels/arteries, thinness or excessive thickness of the vessels or narrowing or dilatation of blood vessels/arteries, sharp pain, contraction/narrowing of sira/blood vessels (kuṭila sirā- tortous sira), bulky /prominent blood vessels, fullness of blood vessels, emptyness of blood vessels"
Doshavaishamyam,SANDHIGATAVATAH,"swelling as if filled with vāyu on palpation, swelling in the joints, flexion and extension of joint with pain, joint pain, loss of joint mobility"
Doshavaishamyam,BASTIGATA-PRATILOMAVATAH/BASTIGATA-VIGUNAVATAH,various disorders of urinary tract
Doshavaishamyam,VATAVYADHI-UPADRAVAH,"spreading cellulitis/erysipelas, burning sensation, pain, obstruction/adherence, syncope/attacks of swooning, tastelessness, diminution of agni (digestive power), depletion/diminution of māṁsa, loss of strength, paralysis etc"
Doshavaishamyam,VATAVYADHI^^ARISHTA,"oedema, numbness in skin, fractures, afflicted with trembling, afflicted with abdominal distention, severe pain"
Doshavaishamyam,PITTASANCAYAH,"yellowishness of body, hypothermia/mild warmth"
Doshavaishamyam,PITTAVRUDDHIH,"yellowishness of body, burning sensation, desire of cold, sleeplessness, syncope/attacks of swooning, loss of physical strength or weakness, impairement of sense organs, yellowish stools, yellowish urine, yellowish eyes, fatigue in mind and body, diminution of ōjas, burning sensation, bitter taste of mouth, thirst, anger, yellowishness of skin, appetite"
Doshavaishamyam,PITTAPRAKOPAH,"sour belching/eructation, thirst, severe burning sensation, burning sensation, redness/congestion, warmth, inflammation/suppuration, perspiration, moistening /soddening, discharge, wheal like skin eruptions, exhaustion, syncope/attacks of swooning, intoxication, pungent taste in mouth, sour taste of the mouth, pallor- reddish brown colour"
Doshavaishamyam,PITTAPRASARAH,"burning sensation, sucking type of pain, severe burning sensation, vomiting of dhūma/smoke (heat sensation in mouth"
Doshavaishamyam,PITTAKSHAYAH,"diminution of warmth, diminution of agni, loss of /diminished complexion, lustre of body, rigidity/stiffness, coldness, irregular/inconsistent pain, burning sensation, tastelessness, indigestion, roughness of body, tremors, heaviness, whitish nails, whitish eyes"
Doshavaishamyam,ANTARDAHAH (KEVALAPITTA),burning sensation in kōṣṭha (git)
Doshavaishamyam,AMLAKAH (KEVALAPITTA),burning sensation
Doshavaishamyam,OSHAH (KEVALAPITTA),excessive sweating
Doshavaishamyam,KAKSHA (KEVALAPITTA),"blisters all over body, reddish blisters with fever, thirst"
Doshavaishamyam,DAVAH (KEVALAPITTA),"burning sensation in mouth, lips, palate"
Doshavaishamyam,DAVATHUH (KEVALAPITTA),burning sensation in the eyes and other sense organs
Doshavaishamyam,DAHAH (KEVALAPITTA),burning sensation
Doshavaishamyam,DHUMAKAH/DHUMODGARAH (KEVALAPITTA),"as if vomiting of fumes/feverish sensation, head filled with fumes, neck filled with fumes, fuming sensation in throat, palate filled with fumes"
Doshavaishamyam,PLOSHAH (KEVALAPITTA),burning sensation without sweating
Doshavaishamyam,MAMSAKLEDAH (KEVALAPITTA),black coloured foul smelling
Doshavaishamyam,VIDAHAH (KEVALAPITTA),"hotness of hand, feet and shoulder"
Doshavaishamyam,SONITAKLEDAH (KEVALAPITTA),"blackish, bad smell and diluted rakta"
Doshavaishamyam,CARMADARANAM/CARMADALANAM (KEVALAPITTA),putrefaction with thickening of surrounding skin
Doshavaishamyam,RAKTASTHITAPITTAKOPAH,"burning sensation, spreading cellulitis/erysipelas"
Doshavaishamyam,MAMSASTHITAKAPAKOPAH,putrifaction of māṁsa/muscle tissue
Doshavaishamyam,MEDASTHITAPITTAKOPAH,"eruptions having burning, perspiration, thirst, vomiting"
Doshavaishamyam,ASTHISTHITAPITTAKOPAH,excessive burning sensation
Doshavaishamyam,MAJJASTHITAPITTAKOPAH,"yellow coloured nail, yellow coloured eyes"
Doshavaishamyam,SUKRASTHITAPITTAKOPAH,"putrid semen, yellowish semen"
Doshavaishamyam,TVAKSTHITAPITTAKOPAH,"blisters, lentil shaped pustular eruptions on skin"
Doshavaishamyam,SNAYUSTHITAPITTAKOPAH,thirst
Doshavaishamyam,KOSHTHASTHITAPITTAKOPAH,"intoxication, thirst, burning sensation"
Doshavaishamyam,SIRASTHITAPITTAKOPAH,"anger, hotness, excess talking/irrelevant speech/incoherent speech"
Doshavaishamyam,NIRAMAPITTAM,"copper coloured, yellow coloured, excessively hot in nature, pungent taste, unstable/mobile, bad smell/smell of raw meat, offer ability to taste food, enhances digestion"
Doshavaishamyam,SAMAPITTAM,"foul smell, greenish, bluish black colour, sour taste, stable/immobile, heaviness, sour belching/eructation, burning sensation in the precordial/cardiac region, burning sensation in throat"
Doshavaishamyam,PITTAROGA-ARISHTAH,"greenish coloured vessels, covered by hair follicles"
Doshavaishamyam,KAPASANCAYAH,"heaviness, lethargy"
Doshavaishamyam,KAPAVRUDDHIH,"whitish discolouration, coldness, immobility of body, heaviness, fatigue, drowsiness/lassitude, excessive sleep, loosening /dislocation of joints, obesity, exhaustion or tirednes to body /inability to perform physical activities, covering of srōtasa by kapha, syncope/attacks of swooning, breathlessness/difficult breathing, cough, excessive salivation, nausea, diminution of agni (digestive power), lethargy, flaccidity/laxity in body parts"
Doshavaishamyam,KAPAPRAKOPAH,"aversion to food, nausea"
Doshavaishamyam,KAPAPRASARAH,"tastelessness, indgestion, exhaustion or tirednes to body /inability to perform physical activities, vomiting"
Doshavaishamyam,KAPAKSHAYAH,"dryness, burning sensation inside the body, feeling of emptiness/vacuity in all the seats of ślēśma specially amaśaya/stomach, dislocation of joint/lax joints, thirst, weakness, sleeplessness/insomnia, giddiness or dizziness, cramps, sleeplessness, generalised bodyache, completely dried up, pricking pain, heat/fever, burning sensation, bursting type of pain, shivering/tremors, smoky/fuming sensation, palpitation of heart"
Doshavaishamyam,TANDRA (KEVALA-KAPHA),"inability to perceive objects of senses, exhaustion without exertion, heaviness, yawning, sleepiness"
Doshavaishamyam,TVAK-STHITAKAPAKOPAH,"rigidity, whitish dis colouration"
Doshavaishamyam,RAKTASTHITAKAPAKOPAH,pallor/ anemia
Doshavaishamyam,MAMSASTHITAKAPAKOPAH,"tumor, disease consisting of enlargement of the glands of the neck, feeling as if body is covered with raw hide (carma), feeling of heavyness"
Doshavaishamyam,MEDAHSTHITAKAPAKOPAH,"obesity, frequent and excessive micturition"
Doshavaishamyam,ASTHISTHITAKAPAKOPAH,loss of movement
Doshavaishamyam,MAJJASTHITAKAPAKOPAH,whitish eyes
Doshavaishamyam,SUKRASTHITAKAPAKOPAH,accumilation of semen inside
Doshavaishamyam,SIRASTHITAKAPAKOPAH,"obstructs the flow, heaviness of siras/blood vessels, stiffness of the body"
Doshavaishamyam,SNAYUSTHITAKAPAKOPAH,feeling of hollowness in joints
Doshavaishamyam,KOSHTHASTHAKAPAKOPAH,"fullness and elevation of stomach/abdomen, tastelessness, indigestion, diseases caused by kapha"
Doshavaishamyam,SAMAKAPAH,"eyeball looks muddy/turbid, thready with filaments, thick/dense, stagnates in the throat, foul smell, loss of appetite and obstruct eructations"
Doshavaishamyam,NIRAMAKAPAH,"frothy, lumpy/dense, pallor/pale, clear light substance, free from foul smell/not having smell, cleanses oral cavity/having clean oral cavity"
